window_id,absolute_start_seconds,absolute_end_seconds,duration_seconds,purpose,source_chunk,source_relative_start_seconds,derivative_file,derivative_size_bytes,derivative_sha256,human_verified_text,speaker_role_verification,reviewer,reviewed_at,notes
CW-01,5840,5888,48,Commissioner characterises MPMB298-26,20260731_093342_part_006.flac,440,CW-01_05840-05888.wav,1536078,f82171249d19ff425e6506f380269c72799e6980e9f877c91ff020626b0cd818,,,,,
CW-02,5940,6030,90,TUT begins statutory-characterisation objection,20260731_093342_part_006.flac,540,CW-02_05940-06030.wav,2880078,97a1d673e49a7b9f49d689123efc119fed91d32a2c7a7e376ee8bee616b89d34,,,,,
CW-03,6360,6455,95,TUT reads proposed PL6 alignment and reporting lines,20260731_093342_part_007.flac,60,CW-03_06360-06455.wav,3040078,53646e1faae09741c2d2f484a0842ff4b75efdbb6f8ff8b8a36b8a5c761026b2,,,,,
CW-04,6780,6900,120,TUT prior-dispute and functus/finality theory,20260731_093342_part_007.flac,480,CW-04_06780-06900.wav,3840078,5946f33d4d70c0d977947fc45a734f341b30f2a31ca3dafa04b78389b260c4df,,,,,
CW-05,7520,7625,105,Commissioner summarises three jurisdiction grounds and invites answer,20260731_093342_part_008.flac,320,CW-05_07520-07625.wav,3360078,c4d7aa4f4ae775535f45ef2b3e11c7640e55b2645ddeeb4829b84deadd96bccb,,,,,
CW-06,8000,8095,95,Applicant records missing bundle and employer lockout,20260731_093342_part_008.flac,800,CW-06_08000-08095.wav,3040078,74577438e66a64ad8b7eccd21117bbd12667947666977ca7d1ea8ae2c5f9ed44,,,,,
CW-07,8940,8998,58,Applicant distinguishes dispute dates before chunk boundary,20260731_093342_part_009.flac,840,CW-07_08940-08998.wav,1856078,fd3b3233619a0672e7ee0dd45ee8572fd5ae767886dd8a9e7b75530d72776da9,,,,,
CW-08,9000,9090,90,Applicant explains later non-implementation dispute,20260731_093342_part_010.flac,0,CW-08_09000-09090.wav,2880078,43828776d5735feab9d7d1207019c7cbb3ff8a1d57e144d0ae8232652a6cfeb4,,,,,
CW-09,9400,9520,120,"TUT reply: procedures, vacancy and recruitment argument",20260731_093342_part_010.flac,400,CW-09_09400-09520.wav,3840078,baee6008afd31e1487712da275675af72e2514b92acebc0eab041374f0d7bf96,,,,,
CW-10,9720,9810,90,TUT reply and transition to reserved ruling,20260731_093342_part_010.flac,720,CW-10_09720-09810.wav,2880078,5f74608803a829312162df5e551a8f9ab08b9efc10ceb4045133a1e23cd8db20,,,,,
CW-11,9960,10080,120,Applicant formally places lockout on record,20260731_093342_part_011.flac,60,CW-11_09960-10080.wav,3840078,3da50fb342ac086d63fb189880c6022593705b36914831822dd8acfb888121a8,,,,,
CW-12,10390,10590,200,Commissioner separates jurisdiction from merits and preserves bundle stage,20260731_093342_part_011.flac,490,CW-12_10390-10590.wav,6400078,6c7d8e63b5a0b97dadd2d29a7800b14d19b7ba784b22481ff869b98ff412cbf3,,,,,
