id,domain,capability,frontier_inspiration,cfbe_state,wave,priority
SENT-FH-001,Telemetry & Estate Perception,Cross-signal telemetry fusion,OpenTelemetry / Splunk / Coralogix,COMPOSE_NOW,W1_COMPETITIVE_CORE,95
SENT-FH-002,Telemetry & Estate Perception,OpenTelemetry semantic normalization,OpenTelemetry,BUILD_NEXT,W1_COMPETITIVE_CORE,95
SENT-FH-003,Telemetry & Estate Perception,Adaptive behavioral baselines,Datadog Watchdog / Dynatrace,BUILD_NEXT,W1_COMPETITIVE_CORE,95
SENT-FH-004,Telemetry & Estate Perception,Dynamic anomaly detection,Datadog / Coralogix,BUILD_NEXT,W2_EXPANSION,82
SENT-FH-005,Telemetry & Estate Perception,Outlier peer-group detection,Datadog,BUILD_NEXT,W2_EXPANSION,82
SENT-FH-006,Telemetry & Estate Perception,Continuous service/dependency topology,Dynatrace Smartscape / Elastic / Splunk,BUILD_NEXT,W1_COMPETITIVE_CORE,95
SENT-FH-007,Telemetry & Estate Perception,Blast-radius propagation map,Datadog Watchdog RCA / Splunk,COMPOSE_NOW,W1_COMPETITIVE_CORE,95
SENT-FH-008,Telemetry & Estate Perception,User/owner impact inference,Datadog Impact Analysis,BUILD_NEXT,W2_EXPANSION,82
SENT-FH-009,Telemetry & Estate Perception,Continuous profiling signal,OpenTelemetry Profiles / Coralogix,PROVIDER_GATED,W3_PROVIDER_GATE,76
SENT-FH-010,Telemetry & Estate Perception,Synthetic/RUM/probe fusion,Splunk / Coralogix,PROVIDER_GATED,W3_PROVIDER_GATE,76
SENT-FH-011,Noise Reduction & Incident Intelligence,Alert/event deduplication,PagerDuty / Grafana IRM,COMPOSE_NOW,W1_COMPETITIVE_CORE,95
SENT-FH-012,Noise Reduction & Incident Intelligence,Context-aware alert grouping,Grafana IRM / PagerDuty,BUILD_NEXT,W1_COMPETITIVE_CORE,95
SENT-FH-013,Noise Reduction & Incident Intelligence,Alert suppression with expiry,Google SRE / PagerDuty,BUILD_NEXT,W2_EXPANSION,82
SENT-FH-014,Noise Reduction & Incident Intelligence,Event normalization and enrichment,PagerDuty Event Orchestration,BUILD_NEXT,W2_EXPANSION,82
SENT-FH-015,Noise Reduction & Incident Intelligence,Dynamic routing by labels/context,PagerDuty / Grafana IRM,COMPOSE_NOW,W2_EXPANSION,82
